,Mean,Min,Max,Range
Mahalanobis,1.5998,0.7469,1.8618,1.1149
$l_p$: $p=r=0.5$,0.9883,0.7532,1.1906,0.4374
Entropy,0.8686,0.7345,1.0946,0.3601
Wasserstein,0.582,0.4536,0.7132,0.2596
Perplexity,0.5737,0.4941,0.6899,0.1958
$l_p$: $p=r=0.75$,0.5186,0.3651,0.6453,0.2802
Cosine,0.4773,0.3921,0.5312,0.1391
Manhattan,0.4574,0.4114,0.5525,0.1411
Euclidean,0.3983,0.3233,0.4662,0.1429
MMD,0.2308,0.1409,0.3284,0.1875
