,Mean,Min,Max,Range
Entropy,0.7383,0.7047,0.7727,0.068
Perplexity,0.6454,0.6147,0.6762,0.0615
Cosine,0.5038,0.4849,0.5298,0.0449
Mahalanobis,0.502,0.4557,0.5246,0.0689
Wasserstein,0.3867,0.369,0.4133,0.0443
Manhattan,0.3356,0.3085,0.3566,0.0481
Euclidean,0.3342,0.3141,0.3485,0.0344
$l_p$: $p=r=0.75$,0.322,0.2939,0.3389,0.045
$l_p$: $p=r=0.5$,0.3045,0.2574,0.335,0.0776
MMD,0.2137,0.1831,0.2397,0.0566
