,Mean,Min,Max,Range
Manhattan,0.8326,0.8326,0.8326,0.0
$l_p$: $p=r=0.5$,0.8326,0.8326,0.8326,0.0
$l_p$: $p=r=0.75$,0.8326,0.8326,0.8326,0.0
Wasserstein,0.8326,0.8326,0.8326,0.0
Entropy,0.8326,0.8326,0.8326,0.0
Perplexity,0.8326,0.8326,0.8326,0.0
FID,0.7105,0.6968,0.7276,0.0308
Cosine,0.6265,0.6158,0.638,0.0222
Mahalanobis,0.5622,0.5437,0.5831,0.0394
MMD,0.555,0.5395,0.5794,0.0399
Euclidean,0.5452,0.5302,0.5655,0.0353
