,Mean,Min,Max,Range
Wasserstein,8.9642,8.9004,9.0458,0.1454
$l_p$: $p=r=0.5$,8.2638,7.9451,8.8968,0.9517
Mahalanobis,7.861,7.4409,9.0799,1.639
Cosine,6.9445,5.895,7.8319,1.9369
$l_p$: $p=r=0.75$,6.5236,6.197,7.1439,0.9469
Manhattan,4.3918,3.9447,4.773,0.8283
Entropy,3.2131,2.7516,3.8152,1.0636
Perplexity,2.3593,2.0891,2.5394,0.4503
Euclidean,1.4276,1.3024,1.5547,0.2523
MMD,0.1356,0.0651,0.2394,0.1743
