,Mean,Min,Max,Range
Wasserstein,1.0,1.0,1.0,0.0
Mahalanobis,0.9799,0.815,1.0,0.185
Cosine,0.9616,0.9449,0.9743,0.0294
$l_p$: $p=r=0.5$,0.946,0.9328,0.9587,0.0259
$l_p$: $p=r=0.75$,0.8337,0.8161,0.8458,0.0297
Entropy,0.7092,0.6911,0.7374,0.0463
Manhattan,0.688,0.6703,0.7082,0.0379
Perplexity,0.5338,0.5101,0.5474,0.0373
Euclidean,0.4177,0.4015,0.4332,0.0317
MMD,0.1838,0.1336,0.2149,0.0813
