,Min,Max,Range,Mean
Wasserstein,8.8846,9.0873,0.2027,8.9523
$l_p$: $p=r=0.5$,7.7949,8.9703,1.1754,8.1561
Mahalanobis,7.463,9.155,1.692,7.8953
Cosine,5.9813,7.9674,1.9861,6.9157
$l_p$: $p=r=0.75$,5.502,6.2437,0.7417,5.83
Perplexity,4.8415,5.0819,0.2404,4.9698
Manhattan,2.9877,3.8121,0.8244,3.4353
Entropy,3.2417,3.5474,0.3057,3.3959
Euclidean,0.5793,0.9653,0.386,0.8104
MMD,0.0723,0.1593,0.087,0.1169
