,KLD Score
$l_p$: $p=r=0.5$,7.4827427112422695
$l_p$: $p=r=0.75$,7.064395190699939
FID,6.576844290487994
Manhattan,5.913526857786854
Entropy,4.7889490136083825
Perplexity,4.252634474640686
MMD,3.014905282004865
Wasserstein,1.8793654626639997
Mahalanobis,1.048128997487791
Euclidean,0.8519594997478471
Cosine,0.46270430432177423
