,Mean,Min,Max,Range
Wasserstein,1.0,1.0,1.0,0.0
Mahalanobis,0.9814,0.8221,1.0,0.1779
Cosine,0.9571,0.94,0.97,0.03
$l_p$: $p=r=0.5$,0.9568,0.9452,0.9639,0.0187
$l_p$: $p=r=0.75$,0.8863,0.8761,0.9082,0.0321
Manhattan,0.809,0.7865,0.8221,0.0356
Euclidean,0.6425,0.6186,0.6558,0.0372
Entropy,0.6144,0.5986,0.6295,0.0309
Perplexity,0.471,0.4443,0.4875,0.0432
MMD,0.1896,0.1535,0.218,0.0645
