,Mean,Min,Max,Range
Mahalanobis,0.4762,0.3099,0.5108,0.2009
$l_p$: $p=r=0.5$,0.4061,0.3622,0.4522,0.09
Entropy,0.3702,0.3554,0.3816,0.0262
Euclidean,0.3333,0.3226,0.343,0.0204
Wasserstein,0.3324,0.3119,0.3534,0.0415
Cosine,0.3116,0.2981,0.3293,0.0312
Perplexity,0.3094,0.2928,0.3293,0.0365
$l_p$: $p=r=0.75$,0.2996,0.2567,0.3315,0.0748
Manhattan,0.2873,0.2643,0.3044,0.0401
MMD,0.2326,0.1877,0.2537,0.066
