,0
Manhattan,0.3672329234310199
Euclidean,0.3196417007151951
$l_p$: $p=r=0.5$,0.39363969687185757
$l_p$: $p=r=0.75$,0.31923306149590885
Cosine,2.1980934567134662
Mahalanobis,1.0027247947434068
Wasserstein,0.6521654548705041
Entropy,2.518986853456555
Perplexity,2.1031192938837107
MMD,0.11573519793243786
