,Mean,Min,Max,Range
Wasserstein,1.0,1.0,1.0,0.0
Mahalanobis,0.9827,0.8293,1.0,0.1707
Cosine,0.9596,0.9438,0.9717,0.0279
$l_p$: $p=r=0.5$,0.9483,0.9348,0.9587,0.0239
$l_p$: $p=r=0.75$,0.8606,0.8468,0.8741,0.0273
Manhattan,0.764,0.7354,0.7836,0.0482
Perplexity,0.6041,0.5853,0.6198,0.0345
Entropy,0.5948,0.5813,0.6156,0.0343
Euclidean,0.5565,0.5451,0.5739,0.0288
MMD,0.1778,0.1336,0.2009,0.0673
