,Mean,Min,Max,Range
Entropy,7.3539,7.0291,7.7522,0.7231
Perplexity,5.7135,5.3199,5.9645,0.6446
Cosine,2.275,1.9885,2.628,0.6395
Mahalanobis,0.7468,0.552,0.9356,0.3836
Wasserstein,0.6844,0.6185,0.7857,0.1672
$l_p$: $p=r=0.5$,0.3428,0.292,0.4052,0.1132
$l_p$: $p=r=0.75$,0.3319,0.2894,0.367,0.0776
Manhattan,0.3139,0.2691,0.3492,0.0801
MMD,0.2944,0.2005,0.4126,0.2121
Euclidean,0.2837,0.2599,0.3276,0.0677
