,Number of Samples,Runtime: Euclidean,Runtime: Manhattan,Runtime: lp: p=r=0.5,Runtime: lp: p=r=0.75,Runtime: cosine,Runtime: mahalanobis,Runtime: wasserstein,Runtime: entropy,Runtime: perplexity,Runtime: mmd,Runtime: fid
0,100.0,0.09720110893249512,0.10857510566711426,0.23395228385925293,0.21366643905639648,0.24499058723449707,21.67863154411316,0.5654432773590088,1.6244497299194336,1.3236548900604248,5.4770519733428955,0.7633945941925049
1,500.0,0.518568754196167,0.5527787208557129,1.2019221782684326,1.1253535747528076,0.9110124111175537,107.2126739025116,3.0824263095855713,7.408498287200928,10.494966745376587,39.50510358810425,3.6101808547973633
2,1000.0,1.1368160247802734,1.0619664192199707,2.253606081008911,2.229029417037964,1.8599989414215088,214.36312556266785,4.527077913284302,17.863300561904907,15.30736255645752,68.69105434417725,6.944790601730347
3,1500.0,1.523892879486084,1.4069592952728271,3.5262882709503174,3.1522350311279297,3.176596164703369,316.1883969306946,7.87102746963501,22.966103553771973,24.232187032699585,81.56015682220459,12.572431087493896
4,2000.0,2.3253092765808105,1.685861349105835,4.577591180801392,3.533737897872925,3.4613211154937744,425.1665213108063,10.061075687408447,29.834790229797363,31.819123029708862,106.64562177658081,14.048424005508423
5,2500.0,2.4509317874908447,2.1626176834106445,4.740222930908203,5.1183929443359375,4.3432981967926025,524.6468329429626,11.910451650619507,39.29516839981079,43.5635552406311,132.18086338043213,20.99420142173767
6,3000.0,3.5062150955200195,3.3278582096099854,5.274105787277222,5.30047345161438,5.188080787658691,625.6183683872223,17.022831201553345,57.70480918884277,48.88898468017578,160.4447524547577,23.583818674087524
7,3500.0,2.889789342880249,2.658409357070923,7.402406215667725,8.368355512619019,7.711257696151733,739.8885188102722,16.904451847076416,58.728991985321045,61.338611125946045,195.866712808609,27.675621509552002
8,4000.0,3.50173282623291,3.390979766845703,9.341331958770752,10.047670841217041,7.516677379608154,859.1564874649048,20.987308263778687,53.401525020599365,64.7651104927063,212.48030304908752,29.84950065612793
9,4500.0,4.045099973678589,3.609445333480835,9.460649728775024,10.049529075622559,10.179667472839355,966.3189351558685,21.000576972961426,65.22822070121765,57.1510329246521,286.8266987800598,41.563199520111084
10,5000.0,4.930225133895874,5.994562387466431,11.677787065505981,11.176381587982178,11.814119338989258,1059.5103013515472,21.40666651725769,75.88529348373413,75.57931399345398,263.98524618148804,35.52026677131653
11,5500.0,5.334387302398682,4.30657172203064,11.542247533798218,12.166400671005249,10.764704704284668,1178.2759008407593,27.53460454940796,81.79431366920471,86.43551707267761,292.51836347579956,44.088407039642334
12,6000.0,5.17972207069397,4.936770439147949,11.609120607376099,11.61073088645935,11.739256143569946,1249.5875837802887,23.739187240600586,88.24921035766602,101.8198299407959,375.15227723121643,52.298011779785156
13,6500.0,5.017313003540039,4.822469234466553,11.256025075912476,11.197601795196533,11.676782846450806,1383.6847043037415,32.965177059173584,100.62790942192078,99.46640920639038,366.02578616142273,59.8703076839447
14,7000.0,7.103057861328125,7.944383859634399,16.466758012771606,14.859864473342896,13.073245763778687,1484.6215193271637,30.485668182373047,103.9605495929718,108.9780695438385,369.5155770778656,54.583744764328
15,7500.0,7.006274938583374,7.225422143936157,16.68013644218445,14.445488214492798,13.982924938201904,1596.4520726203918,38.86121463775635,110.1460599899292,113.84864616394043,411.9667978286743,67.06489682197571
16,8000.0,8.277201175689697,7.444218397140503,17.0305392742157,16.145821571350098,16.795956134796143,1715.6120982170105,48.96595001220703,147.14756202697754,106.41576766967773,425.83144974708557,64.02321410179138
17,8500.0,7.945969581604004,6.942389011383057,17.76540493965149,17.484700202941895,18.867377519607544,1817.280918598175,45.37738275527954,108.88912463188171,133.83040022850037,575.8850839138031,69.63046479225159
18,9000.0,9.049548864364624,8.60040545463562,16.303741693496704,17.576828718185425,18.89216446876526,1927.5071704387665,45.44492530822754,139.77943658828735,130.1224491596222,508.8782675266266,84.0396683216095
19,9500.0,8.90439748764038,8.748181819915771,19.93836808204651,19.170441150665283,19.246930360794067,2032.3642227649689,55.31119728088379,187.9300022125244,150.80222487449646,501.4503266811371,76.54359698295593
20,10000.0,8.933526754379272,8.982911348342896,19.932799339294434,21.920620441436768,19.84579849243164,2154.3172097206116,47.69879627227783,148.5505645275116,125.48544931411743,749.7792670726776,67.61534714698792
