,Manhattan,Euclidean,lp: p=r=0.5,lp: p=r=0.75,cosine,mahalanobis,wasserstein,entropy,perplexity,mmd,fid
41,2.541403435203417,1.326700849306852,14.460264308511023,4.320334097341744,0.8965628774537253,42.95689744387984,0.09815663278110334,0.2083341850701002,0.5893697246498497,0.19262942399331473,23.708969962992665
42,2.063852174785251,0.9981197969165733,13.337446012397825,3.716159146070801,0.2951369419659311,32.31322851457836,0.06572261338971411,0.21887951047395213,0.5132287165294414,0.47684783813460035,12.623051681813326
43,2.704671469329276,1.4089947084746477,17.35785024151691,4.781841768845877,0.43497018858310854,43.838366660800766,0.11572147957722502,0.2855023460711948,0.7261401741824068,0.046690944837926546,14.629565208058601
44,2.384051905875065,1.158882695167941,14.48504264346927,4.194853719096964,0.5999957198432575,37.26935602419746,0.09856618778123578,0.27589566038686986,0.7172630210445484,0.32455755459151164,19.071450108647927
45,2.261616330980933,1.0515402027064067,15.22929581819317,4.130504128540727,0.32380383666839346,34.37421953013892,0.07096773105964063,0.17616878973068043,0.43972283662498785,0.182324610289338,18.25648816310584
46,2.274906510749773,1.106780314429518,15.62527536641771,4.151254158915735,0.4125840148956762,35.43181425376779,0.09534560441291412,0.2282049616252774,0.5949824457475001,0.22738835140137328,25.18869253113572
47,2.858713664818165,1.4416222113233836,16.950398062755227,4.952181877691608,0.7102048711978004,46.258290250834335,0.052599101912803176,0.23303027122877942,0.5501064835020499,0.16807923901031246,21.66265752182226
48,2.358959810612327,1.3307271703777002,12.042038593775903,3.844338205146884,0.6945457320809287,42.5948048567717,0.07311968255220125,0.23447001549945162,0.6060166219043894,0.09863907042251896,13.010687369280555
49,2.8712237114380814,1.4191198970052834,18.858053459175057,5.139810317258427,0.8628575267135463,46.5927446610862,0.1047775759875926,0.39408690096027554,1.0330797201950745,0.2982387372189641,13.916261234826056
50,2.5009803416757395,1.3898662095086418,13.196704566002357,4.116070244852929,0.7319087189506563,44.2978273644981,0.09184846257807208,0.14373062375865364,0.3938643448322127,0.21369008840451775,12.219791488457496
51,3.050872732718775,1.432550170026975,20.9876896114535,5.570871269833064,0.9411556145357555,45.59086494929087,0.12437386800998597,0.20499688174319103,0.556504600243836,0.1362108122309131,23.213578943964023
52,1.939112203014337,1.1318989840509759,9.277693147508725,3.0693606887004963,0.4596051816011203,35.04771158471506,0.09209135313658891,0.11244413873079273,0.30308330614430756,0.38794934606241943,20.839539481237964
53,2.8790236704014642,1.3464042234748406,19.127286057288806,5.235736165313569,0.5669770358913373,42.14416540422738,0.11670266595264997,0.4062245663523735,0.9762297039585235,0.4032428363213914,19.747371454984307
54,2.396118234002688,1.236866776613617,14.837328397024532,4.187093380993811,0.588645878690478,38.207002899983046,0.07211151902491013,0.11100500895041691,0.2944330501661873,0.0809350163483084,10.176059238699684
55,2.5532471847742615,1.2215072752982339,17.40081898389181,4.651231020044473,0.4684889937899121,38.24008262236716,0.10899569501046139,0.23166095099561357,0.5690923630258687,0.09433253814817702,20.08214881005862
56,2.428051680756945,1.169534293141237,15.331915121140934,4.329162808405421,0.5608541244680628,37.00280012412948,0.08361589670931371,0.19368872053096603,0.4683115250624904,0.30247564266290855,18.295508482044745
57,2.5217236045456355,1.1903104353564555,17.619244929121617,4.642974806124984,0.571054766781296,40.503000295170594,0.10115908907201733,0.20503701353322118,0.5282194537911936,0.22739233280699322,17.78731868075425
58,2.360550636116232,1.3928493458365179,11.095546511565656,3.723464213478047,0.7415344059366701,43.14738986283709,0.025810754627301816,0.12911474616549862,0.35196633854352305,0.36944322265090773,11.578720714665746
59,1.978400883385556,0.9307371930716757,12.20551620794648,3.5322984416071583,0.2748910137362872,27.433358308344673,0.0751921348853039,0.22661431403853696,0.5096917642924055,0.2395221085378052,18.345760423314438
60,2.276930596125737,1.187545776446489,13.529673755357015,3.925713094265408,0.6690151095701868,37.83048160417978,0.10622230289069083,0.2123232316545891,0.4663627143059877,0.22920015609892128,16.92223226125153
61,2.5863704884387344,1.3090117632229252,15.312618840883943,4.457873921982046,0.8188271556268643,41.57807317330246,0.06269201953651933,0.15219996677689568,0.4001810544634804,0.3479033035386405,17.894283336605927
62,2.3500539294171756,1.3434877922686699,12.431025387878188,3.8608733793532286,0.5122504119727993,42.345390034844506,0.10598818641513673,0.15210615098722988,0.39961717039654376,0.11351770443400763,12.855408092259859
63,2.8719055458711082,1.4259155960206038,18.06732430106586,5.081136394555937,0.6312342045744109,45.275315453976965,0.08883720751925825,0.1792613593122002,0.4506415702049346,0.19716321598755027,15.00541513109884
64,3.036015069179306,1.4958779573295955,19.32677750507016,5.378094362967515,0.8182800830302235,47.543699694828035,0.143981578358911,0.31976796337737157,0.7187230939907874,0.3118156779932742,26.79250614181849
65,1.6755865648047323,0.8404179901055622,10.551848863257696,2.9595205344338984,0.3090496361518756,28.910533539929435,0.056904346757184365,0.21822903461166834,0.5084086249409503,0.17002167076961672,15.600866508611308
66,2.7304401501840285,1.2775989179936755,17.726340834534334,4.922210875910469,0.756656362314458,40.734425569270414,0.14057747129198442,0.32818883876310845,0.8022815527665393,0.24447894755868227,20.486206321317034
67,2.2445738732523797,1.350255568816482,10.465968543209142,3.5100819176668763,0.8089653233544439,42.50783967788699,0.061488860891466726,0.05192044441698975,0.1489209529607709,0.2523024052447069,5.627447607194921
68,2.288286423594728,1.2343269946228546,12.133850068361685,3.807595206616012,0.7270283078947388,40.087939579450186,0.09028986083753122,0.2157612676530148,0.5811325556356143,0.29980954383950376,14.716930924685833
69,2.789217756860724,1.3207541473370845,17.95744093947024,5.006065343494763,0.7509270905912453,42.30179615045827,0.08306680077353693,0.31894350269368965,0.7988856699200613,0.16296010893808244,15.40826912635968
70,2.395890159399971,1.4701175074777757,10.88328663217844,3.720263050531355,0.894039217219393,46.936490301865014,0.06443658162783748,0.10800984448893954,0.32389869923474923,0.45410150448456493,6.570356347718558
71,2.8035501216011776,1.356261718557145,18.223405005929127,5.045490263389704,0.6246667280115544,42.42794789560625,0.12662542823277095,0.3207927174826938,0.8126239532157843,0.4109190063546835,20.070093924234996
72,2.641431761912073,1.2727678672844664,17.726329052795318,4.779623768867157,0.7052299629593338,41.53436153561094,0.12208213026413707,0.3072941821102854,0.792217721377068,0.28053100006239184,23.276899723815376
