35361     ,  5872400728949.5,       6535,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a91, 0549a, 176ec, 1423a, 1754a, 00007, 1ffff, 00001, 00001, 1ff44, 01110, 00001, 00001, 00001, 000ce, 00001, 00001, 15e62, 09901, 00001, 0871f, 1f000, 08bc4, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35542     ,  5872807635147.5,       6495,   83886075, fffff, 440bd, fff00, 44000, 12c01, 082ab, 0a89f, 0a092, 0989f, 0a841, 13000, 04041, 04041, 04041, 04041, 04041, 13401, 04041, 04041, 04041, 04041, 04041, 13801, 04041, 04041, 04041, 04041, 04041, 13c00, 04041, 04041, 04041, 04041, 04041, fffff, fffff
35543     ,  5872821487982.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35544     ,  5872821546021.0,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35545     ,  5872821604022.0,       6520,   83886075, fffff, 4c88e, fffff, 4c001, 00ee8, 02377, 025a0, 025fa, 00638, 00721, 0f946, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35546     ,  5872821804082.0,       6460,   83886075, fffff, 46878, fffff, 46001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff
35547     ,  5872822424083.5,       6465,   83886075, fffff, 468bb, fffff, 46001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff
35548     ,  5872837112913.5,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35549     ,  5872837170953.5,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35550     ,  5872837228957.5,       6500,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 133c3, 00f4f, 16000, 1ff35, 1c000, 1fffc, 14001, 002c9, 1ff95, 00188, 002c9, 002c9, 00001, 00001, 1f801, 06516, 01600, 00001, 00001, 04e85, 16600, 1ff0c, 00951, 00774, 00001, 0080a, 133c3, 1fc0c, 000b0, 00188, fffff
35551     ,  5872837909011.5,       6440,   83886075, fffff, 4d0d4, fff00, 4d000, 10000, 00bed, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35552     ,  5872838169009.5,       6445,   83886075, fffff, 4c8d4, fffff, 4c001, 1ffff, 00bed, 00bed, 03d53, 01c7d, 07408, 0000b, 00001, 00391, 173cd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35553     ,  5872838429012.5,       6445,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a9b, 1924c, 17e8d, 1d3b5, 17608, 00008, 1ffff, 00001, 1e800, 1fed3, 010ed, 1e800, 00001, 00001, 000d0, 00001, 00001, 16408, 09901, 00001, 0871f, 1f000, 08bc4, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35554     ,  5872839129006.0,   83886075,   83886075, fffff, 45067, fffff, fffff, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 010a3, 0175b, 02a1e, 01fff, 00288, 0000d, 0001f, 1ffa9, 1ffc3, 0112c, 0062a, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35555     ,  5872839589452.0,       6505,       6470, 4c84d, 4204d, 42000, 4c001, 10014, 001b1, 00444, 01dd0, 00227, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35556     ,  5872839793903.5,       6450,   83886075, fffff, 4a84d, fffff, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35557     ,  5872839973904.0,       6505,       6450, 4a89f, 4c09e, 4c001, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35558     ,  5872840378402.0,       6450,   83886075, fffff, 440bd, fff00, 44000, 14001, 04041, 04041, 04041, 04041, 04041, 14400, 04041, 04041, 04041, 04041, 04041, 14800, 04041, 04041, 04041, 04041, 04041, 14c01, 04041, 04041, 04041, 04041, 04041, 15000, 04041, 04041, 04041, 04041, 04041, fffff, fffff
35559     ,  5872852737844.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35560     ,  5872852795883.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35561     ,  5872852853883.5,       6475,   83886075, fffff, 430fe, fff00, 43001, 00288, 000e0, 00001, 1fcbd, 1ffa6, 00e03, 001cc, 0005d, 00001, 00001, 00001, 0005e, 16006, 03a9b, 00001, 00001, 00008, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff
35562     ,  5872853533842.0,       6515,   83886075, fffff, 44804, fffff, 44000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35563     ,  5872853593841.0,       6515,   83886075, fffff, 5184d, fffff, 51001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35564     ,  5872853773843.5,   83886075,   83886075, 468c5, 47044, fffff, 46001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35565     ,  5872868362777.5,   83886075,   83886075, fffff, 58043, fffff, fffff, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35566     ,  5872868440814.5,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35567     ,  5872868498814.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35568     ,  5872868556813.5,       6450,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 1376d, 00f4f, 16000, 1ff35, 1c000, 1fffc, 12001, 002ca, 1ff8d, 00188, 002ca, 002ca, 00001, 00001, 1f801, 06516, 01201, 00001, 00001, 04e85, 16a00, 1ff0c, 00951, 00774, 00001, 0080a, 1376d, 1fc33, 0000e, 00178, fffff
35569     ,  5872869236773.5,       6490,   83886075, fffff, 4f8a6, fffff, 4f001, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 00ffe, 01708, 02996, 01fff, 00269, 0000d, 00038, 1ff69, 1ffc9, 01149, 00643, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35570     ,  5872869676777.5,       6495,   83886075, fffff, 440bd, fff00, 44000, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff
35571     ,  5872883987700.0,   83886075,   83886075, fffff, 588be, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35572     ,  5872884045740.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35573     ,  5872884103744.0,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35574     ,  5872884161784.5,       6485,   83886075, fffff, 4c88e, fffff, 4c001, 00ee8, 02377, 025a0, 025fa, 00643, 00721, 0f946, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35575     ,  5872899612636.0,   83886075,   83886075, fffff, 588c3, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35576     ,  5872899670676.0,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35577     ,  5872899728676.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35578     ,  5872899786676.0,       6500,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 13b16, 00f4f, 14001, 1ff36, 02000, 1fffc, 16000, 002cf, 1ff84, 00188, 002cf, 002cf, 00001, 1fec1, 1f7c1, 06516, 00e00, 00001, 00001, 04e85, 16e01, 1ff0c, 00951, 00774, 00001, 0080a, 13b16, 1f9b2, 1ffb4, 00144, fffff
35579     ,  5872900466734.5,       6545,   83886075, fffff, 4c8d4, fffff, 4c001, 1ffff, 00bed, 00bed, 03d53, 01c7d, 07408, 0000b, 00001, 00391, 173ce, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35580     ,  5872900726833.5,       6445,   83886075, fffff, 50081, fff00, 50000, 16c06, 03a9d, 1ac06, 17e8d, 1d398, 17608, 00008, 1ffff, 00001, 1e800, 1fed3, 010ee, 1e800, 00001, 00001, 000d0, 00001, 00001, 1658e, 09901, 00001, 0871f, 00001, 08bc7, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35581     ,  5872901426829.0,       6450,   83886075, fffff, 4a84d, fffff, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35582     ,  5872901606831.0,       6505,       6445, 4a89f, 4c09e, 4c001, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35583     ,  5872915237566.5,   83886075,   83886075, fffff, 580ba, fffff, fffff, 00200, 13018, 00f4f, 13f81, 1ff35, 19fbe, 1fffc, 13f7d, 002c0, 1ff99, 00181, 002c0, 002c0, 00001, 00001, 00800, 06516, 01a00, 00001, 00001, 04e85, 15c00, 15204, 09800, 00774, 00001, 00001, 00001, 00100, fffff, fffff, fffff
35584     ,  5872915875604.0,   83886075,   83886075, fffff, 58103, fffff, fffff, 06001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35585     ,  5872915953604.0,   83886075,   83886075, fffff, 58913, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35586     ,  5872916011603.5,   83886075,   83886075, fffff, 58983, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35587     ,  5872916069604.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35588     ,  5872916127607.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35589     ,  5872916185603.5,       6480,   83886075, fffff, 44804, fffff, 44000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35590     ,  5872916245567.5,       6505,       6520, 48858, 46058, 46001, 48000, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35591     ,  5872916590064.0,   83886075,   83886075, 468c5, 47044, fffff, 46001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35592     ,  5872930862497.0,   83886075,   83886075, fffff, 58142, fffff, fffff, 06001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35593     ,  5872930940538.5,   83886075,   83886075, fffff, 58957, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35594     ,  5872930998537.0,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35595     ,  5872931056537.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35596     ,  5872931114536.5,       6450,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 13ebf, 00f4f, 14001, 1ff36, 18001, 1fffc, 14001, 002cf, 1ff65, 00187, 002cf, 002cf, 00001, 1fec1, 1f801, 06516, 00c01, 00001, 00001, 04e85, 17400, 1ff0c, 00951, 00774, 00001, 0080a, 13ebf, 1ea86, 1fde6, 00068, fffff
35597     ,  5872931794496.0,       6490,   83886075, fffff, 4e8a2, fffff, 4e000, 0186b, 0000b, 00001, 00001, 021bc, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 1f2e5, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35598     ,  5872932194496.0,       6490,   83886075, fffff, 4f8a6, fffff, 4f001, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 01050, 01708, 02996, 01fff, 00271, 0000d, 0004a, 1ff3f, 1fd01, 01164, 0063b, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35599     ,  5872946487428.5,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35600     ,  5872946545467.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35601     ,  5872946603512.5,       6485,   83886075, fffff, 4c88e, fffff, 4c001, 00ee8, 02377, 025a0, 025fa, 0062f, 00721, 0f946, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35602     ,  5872962112358.5,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35603     ,  5872962170399.5,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35604     ,  5872962228398.5,       6505,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 14269, 00f4f, 16000, 1ff39, 0e000, 1fffc, 16000, 002cf, 1ff2b, 00182, 002cf, 002cf, 00001, 1fec1, 1f801, 06516, 00800, 00001, 00001, 04e85, 17800, 1ff0c, 00951, 00774, 00001, 0080a, 14269, 1de96, 1fefb, 1ffcc, fffff
35605     ,  5872962908457.0,       6445,   83886075, fffff, 4d0d4, fff00, 4d000, 10000, 00bed, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35606     ,  5872963168456.0,       6440,   83886075, fffff, 4c8d4, fffff, 4c001, 1ffff, 00bed, 00bed, 03d50, 01c7d, 07408, 0000b, 00001, 00391, 173d0, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35607     ,  5872963428450.0,       6450,   83886075, fffff, 50081, fff00, 50000, 17c07, 03a9e, 1b7f6, 17e8d, 01ab4, 1760e, 00008, 1ffff, 00001, 1e800, 1fece, 010f9, 1e800, 00001, 00001, 000d0, 00001, 00001, 166ee, 09901, 00001, 0871f, 00001, 08bc7, 06001, 08a06, 00002, 00002, 00001, 00001, 0000e, 00227
35608     ,  5872964128451.0,   83886075,   83886075, fffff, 45067, fffff, fffff, 00ffe, 01fff, 00ffe, 01fff, 016e7, 007b4, 00ff8, 01050, 01708, 02996, 01fff, 00271, 0000d, 0004a, 1ff3f, 1fd01, 01164, 0063b, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35609     ,  5872964586558.5,       6500,       6515, 4c84d, 4204d, 42000, 4c001, 10028, 001a9, 00450, 01dd0, 00224, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35610     ,  5872964791049.5,       6455,   83886075, fffff, 4a84d, fffff, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35611     ,  5872964971051.0,       6505,       6450, 4a89f, 4c09e, 4c001, 4a001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35612     ,  5872977737285.0,   83886075,   83886075, fffff, 5791a, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35613     ,  5872977795328.5,   83886075,   83886075, fffff, 57d39, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35614     ,  5872977853329.0,       6480,   83886075, fffff, 430fe, fff00, 43001, 00288, 1ff09, 00001, 1fcaf, 1ffa6, 00dde, 001cc, 00015, 00001, 00001, 00001, 0005e, 17c07, 03a9d, 00001, 00001, 00008, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, 00001, fffff
35615     ,  5872978533289.5,       6520,   83886075, fffff, 44804, fffff, 44000, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35616     ,  5872978593289.0,   83886075,   83886075, 468c5, 47044, fffff, 46001, 00001, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35617     ,  5872993362221.0,   83886075,   83886075, fffff, 58043, fffff, fffff, 00001, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35618     ,  5872993440261.0,   83886075,   83886075, fffff, 578bd, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35619     ,  5872993498255.0,   83886075,   83886075, fffff, 5795d, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff, fffff
35620     ,  5872993556262.5,       6455,   83886075, fffff, 4d8bf, fffff, 4d000, 00200, 14613, 00f4f, 18001, 1ff3a, 04000, 1fffc, 1a000, 002cf, 1fedf, 00182, 002cf, 002cf, 00001, 1fec1, 1f801, 06516, 00400, 00001, 00001, 04e85, 17c01, 1ff0c, 00951, 00774, 00001, 0080a, 14613, 1d5bf, 1ffff, 1ff6a, fffff
