,Manhattan,Euclidean,lp: p=r=0.5,lp: p=r=0.75,cosine,mahalanobis,wasserstein,entropy,perplexity,mmd,fid
22,939.2571330372602,43.256612921947976,764316.8935889984,8511.94722717844,0.16155184069954137,5604.127872026025,0.062159730297284395,0.009867843847394165,0.7920967211842985,0.07957738163466409,0.0
23,942.8891280590924,57.97269203898689,750369.6607704649,8417.850815384012,0.2520181765833668,5479.714515117672,0.09207368223234544,0.03720978335817522,3.0060912407946505,0.16787646536019954,0.0
24,944.2325038042403,44.825238280597254,762619.1266602826,8520.537860098488,0.15408915190724318,5629.632607963118,0.06620130126384849,0.014986739341840406,1.1900145376979843,0.05181065552432817,0.0
25,927.8009880431852,41.951740854217626,750304.8306652078,8387.477415569776,0.17178847218747212,5460.169726651479,0.05748085884946601,0.0054981552975537085,0.43708249443869607,0.015818138301311513,0.0
26,939.9786834718274,43.00882759091815,761854.6745376734,8501.133880967138,0.13723540852374055,5589.865905748126,0.06386710483964392,0.0065520096246737495,0.5216835474412825,0.11760087930617012,0.0
27,943.7208617508719,44.11278274528974,765854.809010555,8535.686248982787,0.18334460609445025,5500.108891387983,0.07112108125489094,0.007821615001514282,0.6205377459331686,0.19205077822951988,0.0
28,944.7328636595512,45.16286134506599,759084.0656961922,8501.139477935989,0.14995970596285466,5428.3634945294,0.060968206265045476,0.00659574906093634,0.5275414869333197,0.03672361655227828,0.0
29,927.9906327739594,41.52204493323941,753949.2677066803,8409.224301093946,0.16876680866728394,5595.51473834379,0.0570137496091962,0.0090044510149208,0.7332580197777041,0.237978939379785,0.0
30,966.2923455367718,44.19929945480135,782176.8098349767,8733.682966634457,0.16197173829543549,5476.555997126263,0.06783065238452954,0.00511890765315286,0.41233463759867844,0.21178216547430817,0.0
31,946.3294726846907,42.8883282236698,765740.530327211,8555.817053964016,0.1345777055986308,5623.738725131628,0.054542870315615576,0.004380651928139567,0.35418215714416235,0.09647110617521638,0.0
32,952.5326449438733,49.10389860145749,756927.042814776,8517.508509729829,0.21293554864496306,5355.868000337194,0.0835214933130013,0.02199477257971614,1.7668389944193934,0.16910411889636656,0.0
33,944.0087991109378,44.90872017120033,764721.9714317166,8528.62327159931,0.15505208654752095,5522.0409807449205,0.06957840715144571,0.00718713088275833,0.5792575551949894,0.2086462884339294,0.0
34,975.9953525944853,49.1216412011655,775544.0873118588,8734.22987127035,0.17930016389212328,5588.457359122767,0.08089832076312685,0.012493927097814116,1.0069670370443433,0.1455115957483772,0.0
35,920.6174059139545,39.62169861278013,759042.8170856058,8404.658122011007,0.15643945658269964,5555.87419384793,0.05500992469595482,0.006099042620875528,0.48305685412660326,0.07955445355303575,0.0
36,920.5263171228993,41.112314403377574,748912.7243386538,8349.495850827278,0.15451454559665195,5541.804731061007,0.06328053540735244,0.0064044125205777735,0.5161946615925508,0.10005103722362604,0.0
37,984.0231981584614,54.72228317823559,773934.3294970745,8738.78632582519,0.23785042890424052,5271.428353513711,0.09550496485249246,0.018031188605512137,1.4672114213797152,0.22147283788318414,0.0
38,967.5359399762095,48.664226359915446,768448.7533706791,8648.532821607423,0.15190220307973198,5414.3219262070315,0.06822648419686628,0.0105607593962465,0.8503483375974639,0.13839835234893258,0.0
39,953.8577854200023,45.39275688395976,765691.1732855162,8583.454044512366,0.14191840150308896,5568.851175821848,0.0728733633538546,0.00794975322566902,0.6392323310245537,0.11733433066548314,0.0
40,936.6876485914148,44.679580810911645,752755.422540316,8432.238902222745,0.16303664332472598,5526.082468624133,0.06851699860218508,0.013419652459293241,1.0675134531250634,0.09814042429825615,0.0
41,931.4741314378986,53.22859095656763,736532.8233418742,8291.141371773572,0.2691789718306,5461.526767574711,0.09498554186122299,0.01686118540573913,1.3629247043613346,0.06364671451768465,0.0
42,921.5431436233848,41.00182363232212,746254.417781639,8340.6251549031,0.1604242374248082,5560.576834088579,0.05919881568826506,0.005792147114291835,0.4572430204776829,0.14774121659711356,0.0
43,958.6373127875033,49.995356971529915,767357.096610957,8596.824514555527,0.17268520152208885,5387.447724551053,0.07738169792011267,0.013646738130691238,1.098426102654006,0.042655373418953965,0.0
44,980.2132147080314,78.4000062116795,762405.2027174247,8612.259643998783,0.32071449989731354,5584.308213539329,0.09687194227355087,0.03023561322209285,2.437322746775662,0.31512026011254796,0.0
45,955.9798388146706,53.214767968741455,762220.9988159921,8550.424791979032,0.2929069600201728,5349.748046242676,0.09302855479027383,0.03847662294895811,3.0902374994946604,0.24975683965604437,0.0
46,930.3841022911547,41.80309136025964,759081.7650573606,8446.350067576968,0.1430993848388832,5595.18335858036,0.06462267746160766,0.009834659132779765,0.7862441744871035,0.07865142441054841,0.0
47,964.8275687169959,57.133710725205404,754641.524682639,8542.334182500685,0.19669389551339594,5322.207880463681,0.08947778664089727,0.01580620950010001,1.2860746395973053,0.02758743289366708,0.0
48,948.4131184648866,45.51678945984098,767006.2907834913,8560.697208340589,0.1618530902756145,5568.087270079464,0.06712399015999794,0.009591188920410155,0.771954255373727,0.09180769573265161,0.0
49,962.4437848570915,57.93577852025793,761283.7144964628,8566.795817763163,0.21833644047055953,5487.326538000053,0.09794912373344167,0.028079670524848277,2.2594794555373445,0.07964716818715359,0.0
50,985.2278083854678,54.072958084785355,784395.7053256268,8807.088944882347,0.22655978543940813,5362.577786001332,0.08885912191170647,0.02334053438726813,1.8805476999879125,0.22342244680754927,0.0
51,968.9005232022689,46.51781799136407,776827.7090507804,8708.788481244279,0.1666234093252415,5464.26650219976,0.07918714455421814,0.00962037949172867,0.7713973655685734,0.1831012050672623,0.0
52,971.4577084384316,45.5785320327727,777096.4758097671,8725.395294709595,0.15794735591408543,5532.8874888243245,0.06494890175957332,0.005293429556982465,0.41741559164191455,0.07817346585148396,0.0
53,982.0359719491349,45.95231124394438,793595.007520012,8864.178064421394,0.11628396542830702,5453.492040555899,0.0776626159105145,0.002367688035405724,0.19165497744073576,0.025259956775850478,0.0
54,927.8391783898985,43.926740684640116,750864.1463556178,8384.677446530699,0.13142308658795362,5503.7992968769095,0.06185164742861315,0.002548287327094112,0.20383030487064033,0.07003934892287614,0.0
55,986.4969003453953,49.27949551503976,781095.0779279646,8804.67232284675,0.17364107286282002,5347.57595546651,0.07203041404998155,0.004279167334995737,0.34410857964672914,0.14112054936062796,0.0
